"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.seminator.yes","ok",0,0.0225381,11,17,74,1,11,5,1,0,1522,24572,726,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic inherently-weak --BODY-- State: 0 [0] 1 [1] 2 [!1] 3 State: 1 {0} [0] 1 State: 2 [!1] 4 State: 3 [!1] 6 [!1] 7 State: 4 [1] 5 State: 5 {0} [t] 5 State: 6 [1&2] 8 [1] 9 State: 7 [1] 6 [1] 10 State: 8 {0} [2] 8 State: 9 [2] 8 [t] 9 State: 10 [1] 4 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.seminator.no","ok",0,0.0235447,11,17,74,1,11,5,1,0,1522,24572,726,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic inherently-weak --BODY-- State: 0 [0] 1 [1] 2 [!1] 3 State: 1 {0} [0] 1 State: 2 [!1] 4 State: 3 [!1] 6 [!1] 7 State: 4 [1] 5 State: 5 {0} [t] 5 State: 6 [1&2] 8 [1] 9 State: 7 [1] 6 [1] 10 State: 8 {0} [2] 8 State: 9 [2] 8 [t] 9 State: 10 [1] 4 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","cd.seminator.yes","ok",0,0.0230475,10,15,66,1,10,3,1,0,1322,21819,526,"HOA: v1 States: 10 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic --BODY-- State: 0 [!1] 1 [0] 4 [1] 5 State: 1 [!1] 2 State: 2 [1] 3 [1&2] 8 [1] 9 State: 3 [t] 3 [2] 8 State: 4 {0} [0] 4 State: 5 [!1] 6 State: 6 [1] 7 State: 7 {0} [t] 7 State: 8 {0} [2] 8 State: 9 [1] 6 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","cd.ltl2ldba.yes","ok",0,1.10249,18,45,152,1,18,6,1,0,1991,56198,996,"HOA: v1 States: 18 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [!0&!1] 8 [0&!1] 11 [!0&1] 12 [0&1] 13 State: 1 {0} [t] 1 State: 2 [1] 1 State: 3 [!1] 4 [1] 5 [!1] 6 State: 4 [t] 4 [t] 6 State: 5 [1] 1 [!1] 4 [!1] 6 State: 6 {0} [2] 6 State: 7 [1] 3 State: 8 [!1] 7 State: 9 [!0] 4 [t] 6 [0] 9 [0] 10 State: 10 {0} [0] 10 State: 11 [!0&!1] 7 [0&1] 10 [0&!1] 16 State: 12 [!1] 2 State: 13 [!0&!1] 2 [0&1] 10 [0&!1] 17 State: 14 [!0&!1] 4 [!0&1] 5 [!1] 6 [0&!1] 9 [0&!1] 10 [0&1] 15 State: 15 [1] 1 [!0&!1] 4 [!1] 6 [0&!1] 9 [0&!1] 10 State: 16 [!0&1] 3 [0&!1] 10 [0&1] 14 State: 17 [1] 1 [0&!1] 10 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.cy.no","ok",0,0.0173298,11,17,74,1,11,5,1,0,1522,24572,726,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic inherently-weak --BODY-- State: 0 [0] 1 [1] 2 [!1] 3 State: 1 {0} [0] 1 State: 2 [!1] 4 State: 3 [!1] 5 [!1] 6 State: 4 [1] 7 State: 5 [1&2] 8 [1] 9 State: 6 [1] 5 [1] 10 State: 7 {0} [t] 7 State: 8 {0} [2] 8 State: 9 [2] 8 [t] 9 State: 10 [1] 4 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.ltl2ldba.yes","ok",0,1.06585,11,17,76,1,11,5,1,0,1522,25710,726,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [0] 1 [!1] 8 [1] 10 State: 1 {0} [0] 1 State: 2 [1] 3 State: 3 [1] 7 State: 4 [1] 5 [1] 6 State: 5 [t] 5 [!2] 6 State: 6 {0} [2] 6 State: 7 {0} [t] 7 State: 8 [!1] 4 [!1] 9 State: 9 [1] 2 [1] 4 State: 10 [!1] 3 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","cd.ltl2ldba.no","ok",0,1.32885,18,84,152,1,18,6,1,0,1991,56198,996,"HOA: v1 States: 18 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0&!1&!2] 8 [0&!1&!2] 11 [!0&1&!2] 12 [0&1&!2] 13 [!0&!1&2] 8 [0&!1&2] 11 [!0&1&2] 12 [0&1&2] 13 State: 1 [t] 1 {0} State: 2 [1] 1 {0} State: 3 [!1&!2] 4 [1&!2] 5 [!1&2] 4 [1&2] 5 [!1&!2] 6 [!1&2] 6 State: 4 [!2] 4 [2] 4 [!2] 6 [2] 6 State: 5 [!1&!2] 4 [1] 1 {0} [!1&2] 4 [!1&!2] 6 [!1&2] 6 State: 6 [2] 6 {0} State: 7 [1&!2] 3 [1&2] 3 State: 8 [!1&!2] 7 [!1&2] 7 State: 9 [!0&!2] 4 [0&!2] 9 [!0&2] 4 [0&2] 9 [!0&!2] 6 [0&!2] 10 [0&!2] 6 [!0&2] 6 [0&2] 10 [0&2] 6 State: 10 [0] 10 {0} State: 11 [!0&!1&!2] 7 [0&!1&!2] 16 [!0&!1&2] 7 [0&!1&2] 16 [0&1&!2] 10 [0&1&2] 10 State: 12 [!1] 2 State: 13 [!0&!1] 2 [0&!1] 17 [0&1] 10 State: 14 [!0&!1&!2] 4 [0&!1&!2] 9 [!0&1&!2] 5 [0&1&!2] 15 [!0&!1&2] 4 [0&!1&2] 9 [!0&1&2] 5 [0&1&2] 15 [!0&!1&!2] 6 [0&!1&!2] 10 [0&!1&!2] 6 [!0&!1&2] 6 [0&!1&2] 10 [0&!1&2] 6 State: 15 [!0&!1&!2] 4 [0&!1&!2] 9 [1] 1 {0} [!0&!1&2] 4 [0&!1&2] 9 [!0&!1&!2] 6 [0&!1&!2] 10 [0&!1&!2] 6 [!0&!1&2] 6 [0&!1&2] 10 [0&!1&2] 6 State: 16 [!0&1&!2] 3 [0&1&!2] 14 [!0&1&2] 3 [0&1&2] 14 [0&!1&!2] 10 [0&!1&2] 10 State: 17 [1] 1 {0} [0&!1] 10 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.cy.yes","ok",0,0.0195122,11,17,74,1,11,5,1,0,1522,24572,726,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic inherently-weak --BODY-- State: 0 [0] 1 [1] 2 [!1] 3 State: 1 {0} [0] 1 State: 2 [!1] 4 State: 3 [!1] 5 [!1] 6 State: 4 [1] 7 State: 5 [1&2] 8 [1] 9 State: 6 [1] 5 [1] 10 State: 7 {0} [t] 7 State: 8 {0} [2] 8 State: 9 [2] 8 [t] 9 State: 10 [1] 4 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","sd.nba2ldba.no","ok",0,0.508998,14,40,120,1,14,9,1,0,2122,46725,729,"HOA: v1 States: 14 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [!1] 1 [0] 2 [1] 3 [0] 4 State: 1 [!1] 12 [!1] 13 State: 2 [0] 2 [0] 4 State: 3 [!1] 6 State: 4 {0} [0&!1&!2] 4 [0&1&!2] 4 [0&!1&2] 4 [0&1&2] 4 State: 5 [1] 6 State: 6 [1] 10 [1] 11 State: 7 [t] 7 [2] 8 [2] 9 State: 8 [2] 8 [2] 9 State: 9 {0} [!0&!1&2] 9 [0&!1&2] 9 [!0&1&2] 9 [0&1&2] 9 State: 10 [t] 10 [t] 11 State: 11 {0} [!0&!1&!2] 11 [0&!1&!2] 11 [!0&1&!2] 11 [0&1&!2] 11 [!0&!1&2] 11 [0&!1&2] 11 [!0&1&2] 11 [0&1&2] 11 State: 12 [1] 5 [1] 13 State: 13 [1] 7 [1&2] 8 [1&2] 9 --END--"
"(G(a)) | ((X(!(b))) & (((b) | (F(G(c)))) R (X(X(b)))))","cd.cy.no","ok",0,0.0222996,11,17,78,1,11,4,1,0,1520,28082,724,"HOA: v1 States: 11 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic --BODY-- State: 0 ""{0}"" [!1] 1 [0] 5 [1] 6 State: 1 ""{3}"" [!1] 2 State: 2 ""{56}"" [1] 3 [1&2] 9 [1] 10 State: 3 ""{59}"" [t] 4 [2] 9 State: 4 ""{9}"" [t] 4 [2] 9 State: 5 ""1"" {0} [0] 5 State: 6 ""2"" [!1] 7 State: 7 ""4"" [1] 8 State: 8 ""7"" {0} [t] 8 State: 9 ""8"" {0} [2] 9 State: 10 ""10"" [1] 7 --END--"
